team,accuracy
SMH-RandForest-b,57.14
Majority-class,55.56
SimpleNets-MLP,53.17
SMH-RandForest,52.38
DeepIndiBow,52.38
SimpleNets-RNN3,52.38
MT-baseline,50.79
SMH-IBk,50.0
SimpleNets-RNN2,50.0
MS-RandForest,49.21
MS-IBk-b,48.41
IIT-S,47.62
UoW,44.44
DeepBow,42.06
WER,38.1
TER,38.1
BLEU,38.1
MS-IBk,38.1
METEOR,35.71
CLaC-RF-0.7,35.71
CLaC-RF-0.6,35.71
CLaC-RF-0.5,34.92
