team,root_mean_squared_error
SimpleNets-RNN2,32.46
UoW,33.11
SMH-RandForest-b,34.6
SimpleNets-RNN3,36.27
SMH-RandForest,37.29
SMH-Logistic,40.07
Majority-class,40.52
MS-RandForest,41.44
METEOR,41.79
IIT-Metrics,42.16
DeepBow,42.7
DeepIndiBow,42.97
MT-baseline,43.78
MS-IBk,43.8
CLaC-0.5,44.21
MS-IBk-b,44.3
BLEU,45.01
CLaC-0.7,45.16
CLaC-0.6,45.67
TER,46.29
IIT-Default,47.83
WER,47.94
SimpleNets-MLP,48.13
