team,accuracy
SimpleNets-RNN2,52.38
UoW,50.79
SMH-RandForest-b,48.41
SMH-Logistic,47.62
SimpleNets-RNN3,47.62
SMH-RandForest,44.44
Majority-class,43.65
METEOR,42.86
DeepBow,41.27
DeepIndiBow,40.48
IIT-Metrics,39.68
MS-RandForest,39.68
TER,38.1
MT-baseline,38.1
MS-IBk-b,38.1
MS-IBk,38.1
SimpleNets-MLP,38.1
BLEU,37.3
WER,35.71
CLaC-0.5,34.13
IIT-Default,33.33
CLaC-0.7,33.33
CLaC-0.6,32.54
