team,root_mean_squared_error
SMH-Logistic,23.49
SMH-RandForest,26.06
UoW,26.35
MS-RandForest,26.63
IIT-Meteor,26.75
BLEU,27.59
MT-baseline,27.94
TER,28.1
SimpleNets-MLP,28.34
MS-IBk-best,28.43
MS-IBk,29.27
SMH-RandForest-b,30.79
WER,30.87
METEOR,31.25
SimpleNets-RNN2,33.19
Majority-class,35.3
CLaC-RF,36.31
SimpleNets-RNN3,39.88
DeepBow,40.62
DeepIndiBow,40.76
