team,root_mean_squared_error
Majority-class,21.63
DeepBow,21.63
DeepIndiBow,21.63
MT-baseline,21.63
SimpleNets-RNN2,21.82
SimpleNets-RNN3,21.98
SMH-RandForest-b,22.6
SMH-RandForest,22.89
SimpleNets-MLP,23.2
MS-RandForest,24.77
SMH-IBk,25.1
IIT-LM,25.78
MS-RandForest-b,25.89
BLEU,26.61
TER,27.76
WER,30.03
MS-IBk,32.38
METEOR,33.45
CLaC-RF-Perp,34.66
UoW,46.03
