team,pearson
OSVCML1,0.48200000000000004
METEOR,0.384
BLEU,0.344
OSVCML,0.34
TER,0.32299999999999995
SimpleNets-MLP,0.308
WER,0.308
UoLGP-emb,0.256
UoLGP-combo,0.256
UoLGP-quest,0.20800000000000002
SimpleNets-RNN3,0.064
SimpleNets-RNN2,0.055999999999999994
,
,
