team,accuracy
SMH-Logistic,69.05
MT-baseline,66.67
TER,66.67
MS-RandForest,66.67
SMH-RandForest,65.87
SimpleNets-MLP,65.87
BLEU,65.08
IIT-Meteor,63.49
UoW,63.49
WER,62.7
MS-IBk-b,62.7
SMH-RandForest-b,61.9
METEOR,61.9
MS-IBk,61.9
Majority-class,57.94
SimpleNets-RNN2,57.94
DeepBow,53.17
SimpleNets-RNN3,51.59
CLaC-RF,49.21
DeepIndiBow,47.62
