team,mean_absolute_error
MT-baseline,20.24
SMH-Logistic,20.24
UoW,20.63
MS-RandForest,20.63
IIT-Meteor,20.63
SMH-RandForest,20.63
SimpleNets-MLP,21.03
TER,21.03
BLEU,21.43
METEOR,21.43
WER,22.62
SMH-RandForest-b,23.81
MS-IBk-b,24.21
MS-IBk,25.0
SimpleNets-RNN2,27.38
SimpleNets-RNN3,28.17
Majority-class,28.97
CLaC-RF,30.56
DeepIndiBow,32.94
DeepBow,34.52
