team,weighted_f_score
SMH-Logistic,68.07
MS-RandForest,65.6
SMH-RandForest,64.4
TER,63.74
SimpleNets-MLP,63.54
BLEU,62.82
MT-baseline,62.72
IIT-Meteor,62.69
MS-IBk-b,61.71
MS-IBk,61.5
METEOR,60.12
SMH-RandForest-b,59.69
WER,59.06
UoW,58.83
SimpleNets-RNN2,51.29
CLaC-RF,51.0
SimpleNets-RNN3,46.64
DeepBow,46.3
DeepIndiBow,42.53
Majority-class,42.51
