team,weighted_f_score
SMH-RandForest-b,56.42
SMH-RandForest,53.02
SMH-IBk,51.12
SimpleNets-RNN3,49.96
SimpleNets-MLP,49.81
MT-baseline,48.31
MS-IBk-b,47.84
MS-RandForest,47.82
SimpleNets-RNN2,47.47
IIT-S,43.46
DeepIndiBow,42.57
UoW,40.92
Majority-class,39.68
MS-IBk,38.1
DeepBow,35.58
CLaC-RF-0.5,34.88
CLaC-RF-0.6,34.66
WER,34.48
CLaC-RF-0.7,34.3
TER,33.52
METEOR,33.34
BLEU,33.0
