team,weighted_f_score
SMH-RandForest,71.84
SMH-IBk,71.64
SMH-RandForest-b,69.96
BLEU,69.09
SimpleNets-MLP,68.82
TER,68.36
MS-RandForest,67.53
IIT-LM,67.5
WER,66.79
MS-RandForest-b,66.75
MT-baseline,65.89
DeepIndiBow,65.89
DeepBow,65.89
Majority-class,65.89
METEOR,65.72
SimpleNets-RNN2,65.5
SimpleNets-RNN3,65.11
CLaC-RF-Perp,64.39
MS-IBk,62.0
UoW,46.32
