team,mean_absolute_error
SimpleNets-RNN2,25.79
UoW,26.59
SimpleNets-RNN3,27.78
Majority-class,28.17
SMH-Logistic,28.17
SMH-RandForest-b,28.97
SMH-RandForest,31.75
SimpleNets-MLP,32.54
DeepBow,33.73
DeepIndiBow,34.92
IIT-Metrics,34.92
MS-RandForest,35.71
METEOR,37.3
MS-IBk-b,37.7
MS-IBk,39.29
TER,40.87
CLaC-0.5,41.27
CLaC-0.7,41.27
BLEU,41.27
MT-baseline,41.67
CLaC-0.6,42.06
WER,42.06
IIT-Default,42.46
