team,mean_absolute_error
SimpleNets-MLP,17.06
SMH-RandForest,17.46
Majority-class,18.25
DeepBow,18.25
DeepIndiBow,18.25
MT-baseline,18.25
SMH-RandForest-b,18.25
SimpleNets-RNN2,18.65
SimpleNets-RNN3,19.05
SMH-IBk,19.44
MS-RandForest,19.84
BLEU,21.43
TER,21.43
IIT-LM,21.43
MS-RandForest-b,21.83
WER,23.81
METEOR,24.21
CLaC-RF-Perp,27.38
MS-IBk,28.17
UoW,30.16
