team,pearson
IIT-Meteor,0.588
OSVCML,0.585
OSVCML2,0.573
BLEU,0.5329999999999999
METEOR,0.527
TER,0.513
WER,0.495
OSVCML1,0.48200000000000004
SimpleNets-MLP,0.465
UoLGP-quest,0.285
SimpleNets-RNN3,0.262
SimpleNets-RNN2,0.262
UoLGP-combo,0.25
UoLGP-emb,0.188
