team,pearson
OSVCML1,0.382
OSVCML2,0.376
OSVCML,0.33899999999999997
SimpleNets-MLP,0.32
SimpleNets-RNN3,0.307
SimpleNets-RNN2,0.24
UoLGP-combo,0.12300000000000001
UoLGP-emb,0.12
UoLGP-quest,0.086
IIT-S,0.052000000000000005
METEOR,-0.16899999999999998
TER,-0.242
WER,-0.26
BLEU,-0.267
