team,pearson
OSVCML2,0.34299999999999997
OSVCML,0.33399999999999996
SimpleNets-RNN2,0.23199999999999998
OSVCML1,0.23
UoLGP-emb,0.205
SimpleNets-MLP,0.198
METEOR,0.196
UoLGP-combo,0.18899999999999997
UoLGP-quest,0.14400000000000002
TER,0.13
SimpleNets-RNN3,0.11199999999999999
WER,0.111
BLEU,0.107
,
