team,root_mean_squared_error
Majority-class,31.22
SMH-RandForest-b,32.06
DeepIndiBow,33.54
MS-IBk-best,34.6
SimpleNets-RNN3,35.57
SimpleNets-MLP,36.03
MS-RandForest,36.64
MT-baseline,36.68
SimpleNets-RNN2,37.01
SMH-RandForest,38.08
IIT-S,38.85
SMH-IBk,39.51
DeepBow,43.87
UoW,44.19
CLaC-RF-0.6,44.48
CLaC-RF-0.7,44.48
CLaC-RF-0.5,45.32
BLEU,45.77
WER,46.1
MS-IBk,46.12
TER,46.23
METEOR,47.47
