team,accuracy
Majority-class,76.19
MT-baseline,76.19
DeepIndiBow,76.19
DeepBow,76.19
SMH-RandForest-b,75.4
SMH-RandForest,75.4
SimpleNets-RNN2,75.4
SimpleNets-RNN3,74.6
SimpleNets-MLP,74.6
IIT-LM,72.22
MS-RandForest,72.22
SMH-IBk,70.63
MS-RandForest-b,69.84
BLEU,69.84
TER,68.25
WER,65.87
METEOR,63.49
MS-IBk,60.32
CLaC-RF-Perp,58.73
UoW,41.27
