team,weighted_f_score
SMH-RandForest-b,48.57
UoW,48.2
SMH-Logistic,47.54
SimpleNets-RNN2,46.06
SMH-RandForest,44.5
METEOR,40.94
SimpleNets-RNN3,40.75
MS-RandForest,39.85
DeepIndiBow,39.8
IIT-Metrics,39.3
MS-IBk,38.27
MS-IBk-b,38.16
DeepBow,38.03
MT-baseline,37.49
TER,34.08
CLaC-0.5,34.06
SimpleNets-MLP,33.69
IIT-Default,33.04
BLEU,32.92
CLaC-0.7,32.88
CLaC-0.6,32.2
WER,31.28
Majority-class,26.53
