team,mean_absolute_error
SimpleNets-RNN3,25.0
SMH-RandForest-b,25.4
MT-baseline,26.19
SimpleNets-MLP,26.98
SimpleNets-RNN2,26.98
SMH-RandForest,27.78
UoW,28.17
SMH-IBk,28.17
Majority-class,29.37
MS-RandForest,31.35
DeepIndiBow,31.35
BLEU,32.94
IIT-S,34.13
TER,34.13
METEOR,34.92
WER,34.92
MS-IBk-best,35.71
DeepBow,36.11
MS-IBk,38.89
CLaC-RF-0.7,40.48
CLaC-RF-0.6,41.67
CLaC-RF-0.5,43.25
